ID1, ID2, A12, A21, alpha12,,,
5,1101,1440.1498,1053.7716,0.4647,Butane,Methanol,
7,1102,1183.3812,412.7546,0.2886,Pentane,Ethanol,
8,1102,1610.2811,935.1426,0.496,TwoMethylbutane,Ethanol,
11,1102,1218.1065,575.2985,0.2882,Hexane,Ethanol,
11,1103,1092.147,480.674,0.294,Hexane,OnePropanol,
137,1103,1707.7883,353.2705,0.5914,Cyclohexane,OnePropanol,
138,1181,2587.873,-439.4469,0.2836,MethylCycloHexane,Phenol,
207,1101,1333.6,556.3608,0.3697,Isobutylene,Methanol,
214,1101,1355.6853,660.9164,0.3381,TwoMethylTwoButene,Methanol,
214,1102,1412.7516,674.7726,0.4569,TwoMethylTwoButene,Ethanol,
216,1101,1222.6032,1145.1085,0.4402,OneHexene,Methanol,
216,1102,1399.1806,949.7239,0.5011,OneHexene,Ethanol,
302,1101,1353.0599,610.8292,0.467,OneThreeButadiene,Methanol,
305,1101,1545.3339,799.1289,0.4753,OneThreePentadiene,Methanol,
306,1101,1514.2761,782.1729,0.4657,TransOneThreePentadiene,Methanol,
309,1101,1445.6425,543.527,0.426,Isoprene,Methanol,
309,1102,1402.5377,653.4866,0.5056,Isoprene,Ethanol,
315,1101,1541.9324,736.0352,0.4515,Cyclopentadiene,Methanol,
501,1103,874.2419,285.7774,0.2899,Benzene,OnePropanol,
501,1521,-227.3671,-86.1025,0.3062,Benzene,Chloroform One,7
501,1181,373.4202,318.1885,0.2986,Benzene,Phenol,
501,502,60.198,-51.0865,0.3019,Benzene,Toluene,
501,507,-50.2635,14.218,0.3056,Benzene,pXylene,
501,1698,893.4167,-566.9011,0.255,Benzene,Tribromomethane,
501,1760,273.5119,524.903,0.296,Benzene,Nitromethane,
501,1542,-94.1122,288.6566,0.302,Benzene,Tetrachloroethylene,
501,1541,140.5075,-127.4605,0.306,Benzene,Trichloroethylene,
501,1590,-225.8274,197.746,0.303,Benzene,Pentachloroethane,
501,1529,-73.7504,-250.7743,0.305,Benzene,OneOneTwoTwotetrachloroethane,
501,1772,-100.924,300.0048,0.304,Benzene,OneTwoDibromoethane,
501,1523,58.8289,-39.5526,0.303,Benzene,OneTwoDichloroethane,
501,2852,1512.9737,639.2332,0.523,Benzene,NMethylformamide,
501,1761,527.2886,-57.1531,0.3,Benzene,Nitroethane,
501,1844,810.544,408.5646,0.669,Benzene,Dimethylsulfoxide,
501,1741,490.0693,560.0207,0.295,Benzene,Ethylenediamine,
501,1876,736.7867,-251.4046,0.307,Benzene,NNdimethylformamide,
501,1762,-157.3069,595.6615,0.301,Benzene,OneNitropropane,
501,1763,1088.4773,-446.4137,0.306,Benzene,TwoNitropropane,
501,1821,-347.2708,503.5971,0.304,Benzene,Thiophene,
501,1791,541.0855,-319.8327,0.279,Benzene,Pyridine,
501,1864,1085.4557,-715.7662,0.298,Benzene,Hexafluorobenzene,
501,1574,1441.9721,-865.5699,0.283,Benzene,PDichlorobenzene,
501,1680,1538.3464,-819.5924,0.321,Benzene,Bromobenzene,
501,1571,700.4097,-450.6274,0.325,Benzene,Chlorobenzene,
501,1860,277.6641,-292.2391,0.304,Benzene,Fluorobenzene,
501,1886,1311.3264,-523.3212,0.311,Benzene,Nitrobenzene,
501,1792,776.8671,-178.3464,0.299,Benzene,Aniline,
501,1729,717.4228,-684.6315,0.29,Benzene,Cyclohexylamine,
501,1706,130.6061,-27.3294,0.303,Benzene,Triethylamine,
501,1790,1390.488,-636.1853,0.285,Benzene,Benzonitrile,
501,502,111.1157,-121.2437,0.303,Benzene,Toluene,
501,2731,52.3967,94.0417,0.302,Benzene,NMethylcyclohexylamine,
501,601,-643.5999,970.4264,0.311,Benzene,Styrene,
501,504,-70.8372,57.0902,0.303,Benzene,Ethylbenzene,
501,506,-454.1872,615.2806,0.287,Benzene,MXylene,
501,507,-50.2635,14.218,0.305,Benzene,PXylene,
501,1753,85.208,104.9548,0.301,Benzene,NNDiethylaniline,
501,510,1915.7178,-810.5032,0.369,Benzene,Isopropylbenzene,
501,509,-192.1433,141.5054,0.303,Benzene,Propylbenzene,
501,560,64.1947,78.657,0.302,Benzene,MTerphenyl,
502,1521,-583.6169,629.2214,0.2974,Toluene,Chloroform,
502,507,226.4602,-241.7457,0.2874,Toluene,pXylene,
502,1761,537.4434,21.7626,0.301,Toluene, Nitroethane,
502,1844,1063.2839,192.0041,0.289,Toluene,Dimethylsulfoxide,
502,1741,432.7908,592.5054,0.296,Toluene,Ethylenediamine,
502,1876,-2260.2463,3666.1775,0.071,Toluene,NNDimethylformamide,
502,1845,5175.2573,224.8869,0.46,Toluene,Sulfolane,
502,1791,264.6428,-60.3423,0.299,Toluene,Pyridine,
502,1680,-47.4722,15.063,0.304,Toluene,Bromobenzene,
502,1571,-40.5158,15.0972,0.303,Toluene,Chlorobenzene,
502,1886,806.4313,-288.9774,0.296,Toluene,Nitrobenzene,
502,1797,396.5492,-97.1224,0.302,Toluene,TwoMethylpyridine,
502,2797,-490.8706,1036.9557,0.296,Toluene,ThreeMethylpyridien,
502,1790,-676.6725,1239.9195,0.3,Toluene,Benzonitrile,
502,504,663.0837,-482.5109,0.3,Toluene,Ethylbenzene,
502,507,226.4602,-241.7457,0.287,Toluene,PXylene,
504,601,-539.7919,813.9959,0.346,Ethylbenzene,Styrene,
504,1886,519.4154,-64.0219,0.3,Ethylbenzene,Nitrobenzene,
504,1792,243.6463,384.003,0.298,Ethylbenzene,Aniline,
504,510,26.256,-27.6358,0.304,Ethylbenzene,Isopropylbenzene,
504,518,-789.9294,957.1492,0.302,Ethylbenzene,Butylbenzene,
505,1876,559.7795,332.8093,0.294,OXylene,NNDimethylformamide,
506,1876,308.9034,548.667,0.296,MXylene,NNDimethylformamide,
506,1792,-259.4169,1034.4099,0.299,MXylene,Aniline,
507,506,282.0248,-254.9358,0.308,PXylene,MXylene,
507,1876,153.1239,722.4999,0.294,PXylene,NNDimethylformamide,
507,1792,311.9792,408.2084,0.297,PXylene,Aniline,
509,1886,329.7212,143.3943,0.3,Propylbenzene,Nitrobenzene,
515,514,878.2759,-655.9008,0.326,OneTwoFourTrimethylbenzene,OneTwoThreeTrimethylbenzene,
518,1886,370.6529,140.0817,0.3,Butylbenzene,Nitrobenzene,
